year,month,grand_billed,ex_tax,Business/Carrier Ethernet (fiber),Colocation,Construction/Build (one-time),Dark fiber / Wavelength (carrier),Deposit/Credit,Fee (application),Fiber retail connection (E),Internet bandwidth (wholesale),Tax (pass-through),Wireless (WISP)
2021,1,283552.8,279627.48,45051.75,4073.0,7210.23,86996.5,-3000.0,0.0,34655.0,21983.0,3925.32,82658.0
2021,2,284000.5,280075.18,45028.75,4073.0,3732.43,86996.5,-500.0,0.0,34645.0,21631.5,3925.32,84468.0
2021,3,299245.85,295320.53,46633.75,4073.0,16720.28,86996.5,500.0,0.0,33600.0,21915.0,3925.32,84882.0
2021,4,317738.32,313561.0,49587.75,4073.0,25939.75,91996.5,-1000.0,0.0,33912.0,22208.0,4177.32,86844.0
2021,5,291734.57,287557.25,49242.75,4073.0,0.0,89996.5,-500.0,0.0,33977.0,21576.0,4177.32,89192.0
2021,6,308393.46,304274.94,50161.75,4073.0,11874.19,89296.5,4000.0,0.0,34522.0,20843.5,4118.52,89504.0
2021,7,315117.46,310998.94,48780.25,4073.0,22875.69,89296.5,-2000.0,0.0,34535.0,20802.5,4118.52,92636.0
2021,8,317245.77,313127.25,71527.25,4073.0,0.0,89296.5,-2000.0,0.0,34509.5,22104.0,4118.52,93617.0
2021,9,297089.48,292970.96,45809.25,4073.0,9609.21,85106.5,-2000.0,0.0,34876.0,21714.0,4118.52,93783.0
2021,10,309732.5,305613.98,45805.25,4073.0,17310.73,85106.5,2000.0,0.0,34876.0,22625.5,4118.52,93817.0
2021,11,297254.9,287457.25,47484.25,4073.0,0.0,85106.5,-1000.0,0.0,34601.0,23054.5,9797.65,94138.0
2021,12,304279.33,294481.68,48483.25,4073.0,7587.93,85106.5,-500.0,0.0,34951.0,22941.0,9797.65,91839.0
2022,1,296490.4,286692.75,48083.25,4073.0,0.0,85106.5,-500.0,0.0,35031.0,24446.0,9797.65,90453.0
2022,2,310030.49,300232.84,48909.25,4073.0,11456.09,85106.5,0.0,0.0,34991.0,24417.0,9797.65,91280.0
2022,3,307908.71,298111.06,49216.25,4073.0,8511.31,85106.5,500.0,0.0,35331.0,24062.0,9797.65,91311.0
2022,4,315887.69,306090.04,52864.75,4073.0,11977.29,83782.5,2000.0,0.0,35656.0,23897.5,9797.65,91839.0
2022,5,291926.74,284709.75,48086.25,4299.0,0.0,69252.5,11640.0,0.0,35801.0,23015.0,7216.99,92616.0
2022,6,283879.74,276662.75,50103.25,3899.0,0.0,70978.0,-1500.0,0.0,36136.0,23509.5,7216.99,93537.0
2022,7,291898.76,284681.77,49653.25,3899.0,6139.52,70978.0,0.0,0.0,36501.0,22748.0,7216.99,94763.0
2022,8,294788.34,287571.35,51165.75,3741.0,7213.6,70978.0,-3500.0,0.0,36556.0,22609.0,7216.99,98808.0
2022,9,293169.32,285952.33,49532.25,3741.0,8857.08,70978.0,-2500.0,0.0,36716.0,23776.0,7216.99,94852.0
2022,10,291824.5,284607.51,49774.25,3741.0,5096.26,70978.0,-500.0,0.0,36521.0,24579.0,7216.99,94418.0
2022,11,308242.04,301025.05,52338.25,3741.0,19422.3,70978.0,0.0,0.0,36411.0,24313.5,7216.99,93821.0
2022,12,294022.98,286805.99,52667.75,3741.0,4033.24,70978.0,0.0,0.0,36533.0,25370.0,7216.99,93483.0
2023,1,300174.15,292957.16,52720.75,3741.0,9173.91,70978.0,0.0,0.0,36768.0,26109.5,7216.99,93466.0
