year,month,rsp,tier,service,subs
2021,1,CommunityNET,W06,Cambium Wireless 3/1mbps,50
2021,1,Highland,W06,Cambium Wireless 3/1mbps,87
2021,1,Methownet.com,W06,Cambium Wireless 3/1mbps,149
2021,1,NCI Datacom,W06,Cambium Wireless 3/1mbps,93
2021,1,PC Telecom,W06,Cambium Wireless 3/1mbps,48
2021,1,Will Connect,W06,Cambium Wireless 3/1mbps,6
2021,1,BHPcom,W07,Cambium Wireless 7/2mbps,3
2021,1,CommunityNET,W07,Cambium Wireless 7/2mbps,117
2021,1,Highland,W07,Cambium Wireless 7/2mbps,300
2021,1,Methownet.com,W07,Cambium Wireless 7/2mbps,114
2021,1,NCI Datacom,W07,Cambium Wireless 7/2mbps,224
2021,1,PC Telecom,W07,Cambium Wireless 7/2mbps,36
2021,1,Will Connect,W07,Cambium Wireless 7/2mbps,25
2021,1,BHPcom,W08,Cambium Wireless 12/3mbps,7
2021,1,CommunityNET,W08,Cambium Wireless 12/3mbps,203
2021,1,Highland,W08,Cambium Wireless 12/3mbps,163
2021,1,Methownet.com,W08,Cambium Wireless 12/3mbps,23
2021,1,NCI Datacom,W08,Cambium Wireless 12/3mbps,105
2021,1,PC Telecom,W08,Cambium Wireless 12/3mbps,15
2021,1,Will Connect,W08,Cambium Wireless 12/3mbps,21
2021,1,BHPcom,W09,Cambium Wireless 20/5mbps,10
2021,1,CommunityNET,W09,Cambium Wireless 20/5mbps,151
2021,1,Highland,W09,Cambium Wireless 20/5mbps,172
2021,1,Methownet.com,W09,Cambium Wireless 20/5mbps,20
2021,1,NCI Datacom,W09,Cambium Wireless 20/5mbps,85
2021,1,PC Telecom,W09,Cambium Wireless 20/5mbps,4
2021,1,Will Connect,W09,Cambium Wireless 20/5mbps,71
2021,1,CommunityNET,W71,Broadband Wireless 3/1Mbps,7
2021,1,Highland,W71,Broadband Wireless 3/1Mbps,74
2021,1,Methownet.com,W71,Broadband Wireless 3/1Mbps,21
2021,1,NCI Datacom,W71,Broadband Wireless 3/1Mbps,32
2021,1,PC Telecom,W71,Broadband Wireless 3/1Mbps,8
2021,1,Will Connect,W71,Broadband Wireless 3/1Mbps,4
2021,1,CommunityNET,W75,Broadband Wireless 7/3mbps,16
2021,1,Highland,W75,Broadband Wireless 7/3mbps,137
2021,1,Methownet.com,W75,Broadband Wireless 7/3mbps,17
2021,1,NCI Datacom,W75,Broadband Wireless 7/3mbps,52
2021,1,PC Telecom,W75,Broadband Wireless 7/3mbps,7
2021,1,Will Connect,W75,Broadband Wireless 7/3mbps,10
2021,1,BHPcom,W76,Broadband Wireless 12/6mbps,2
2021,1,CommunityNET,W76,Broadband Wireless 12/6mbps,24
2021,1,Highland,W76,Broadband Wireless 12/6mbps,73
2021,1,Methownet.com,W76,Broadband Wireless 12/6mbps,4
2021,1,NCI Datacom,W76,Broadband Wireless 12/6mbps,22
2021,1,PC Telecom,W76,Broadband Wireless 12/6mbps,1
2021,1,Will Connect,W76,Broadband Wireless 12/6mbps,6
2021,1,BHPcom,W77,Broadband Wireless 20/10mbps,5
2021,1,CommunityNET,W77,Broadband Wireless 20/10mbps,23
2021,1,Highland,W77,Broadband Wireless 20/10mbps,50
